part,description,shape,color,coating,mfg
1-0725-5011,Base 6 Sphr Blank E2-5 Lsr HC DND,Base 6.0,E2-5,HC,Revision VI20197
1-0725-5019,Base 6 Sphr Blank Clr AF,Base 6.0,Clr,AF,Revision VI20197
1-0725-5021,Base 6 Sphr Blank Smk AF,Base 6.0,Smk,AF,Revision VI20197
1-0725-5023,Base 6 Sphr Blank NG AF,Base 6.0,NG,AF,Revision VI20197
1-0725-5025,Base 6 Sphr Blank Yel AF,Base 6.0,Yel,AF,Revision VI20197
1-0725-5025,Base 6 Sphr Blank Yel AF,Base 6.0,Yel,AF,Revision VI20197
1-0725-5027,Base 6 Sphr Blank Ver AF ( old AF ),Base 6.0,Ver,AF,Revision VI20197
1-0725-5032,Base 6 Sphr Blank T64 Lsr HC,Base 6.0,T64,HC,Revision VI20197
1-0725-5036,Base 6 Sphr Blank Ver HC,Base 6.0,Ver,HC,Revision VI20197
1-0725-5037,Base 6 Sphr Blank E2-5 Lsr AF,Base 6.0,E2-5,AF,Revision VI20197
1-0725-5038,Base 6 Sphr Blank FT-2 Lsr AF,Base 6.0,FT-2,AF,Revision VI20197
1-0725-5040,Base 6 Sphr Blank C5-6-10 Lsr HC,Base 6.0,C5-6-10,HC,Revision VI20197
1-0725-5043,Base 6 Sphr Blank Clr HC DND,Base 6.0,Clr,HC,Revision VI20197
1-0725-5044,Base 6 Sphr Blank Smk HC DND,Base 6.0,Smk,HC,Revision VI20197
1-0725-5045,Base 6 Sphr Blank Clr Gel AF,Base 6.0,Clr,AF,Revision VI20197
1-0725-5046,Base 6 Sphr Blank Smk Gel AF,Base 6.0,Smk,AF,Revision VI20197
1-0725-5047,Base 6 Sphr Blank NG Gel AF,Base 6.0,NG,AF,Revision VI20197
1-0725-5048,Base 6 Sphr Blank Yel Gel AF,Base 6.0,Yel,AF,Revision VI20197
1-0725-5049,Base 6 Sphr Blank Ver Gel AF,Base 6.0,Ver,AF,Revision VI20197
1-0725-5052,Base 6 Sphr Blank E2-5 Gel Lsr AF,Base 6.0,E2-5,AF,Revision VI20197
1-0725-5053,Base 6 Sphr Blank Sng HC,Base 6.0,Sng,HC,Revision VI20197
1-0725-5055,Base 6 Sphr Blank E2-5 UVS Lsr AF,Base 6.0,E2-5,AF,Revision VI20197
1-0725-5057,Base 6 Sphr Blank E2-5 UVS Lsr HC,Base 6.0,E2-5,HC,Revision VI20197
1-0725-5058,Base 6 Sphr Blank T64 Lsr HC,Base 6.0,T64,HC,Revision VI20197
1-0725-5060,Base 6 Sphr Blank Clr AF Int'l,Base 6.0,CLR UV400,AF,Revision VI20197
1-0725-5060,Base 6.0 Sphr Blank Int'l Clr ,Base 6.0,CLR UV380,AF,Revision VI20198
1-0725-5061,Base 6 Sphr Blank Clr AF US,Base 6.0,CLR UV380,AF,Revision VI20197
1-0725-5062,Base 6 Sphr Blank E25 AF,Base 6.0,E2-5,AF,Revision VI20197
1-0725-5063,Base 6 Sphr Blank NG AF,Base 6.0,NG,AF,Revision VI20197
1-0725-5064,Base 6 Sphr Blank Smk AF,Base 6.0,Smk,AF,Revision VI20197
1-0725-5065,Base 6 Sphr Blank Ver AF ( VPGG AF ),Base 6.0,Ver,AF,Revision VI20197
1-0725-5065,Base 6.0 Sphr Blank Ver UV400,base 6.0 ,Ver,AF,Revision VI20198
1-0725-5066,Base 6 Sphr Blank YEL AF,Base 6.0,Yel,AF,Revision VI20197
1-0725-5066,Base 6.0 Sphr Blank Yel ,Base 6.0,Yel,AF,Revision VI20198
1-0725-5068,Base 6 Sphr Blank C5-6-10 AF,Base 6.0,C5-6-10,AF,Revision VI20197
1-0725-5070,Base 6.0 Clr Int'l HC,Base 6.0,CLR UV400,HC,Revision VI20198
1-0725-5071,Base 6 Sphr Blank NG UV400 HC,Base 6.0,NG,HC,Revision VI20198
1-0725-5074,Base 6 Sphr Blank Yel UV400 HC (Current),Base 6.0,Yel,HC,Revision VI20198
1-0728-0001,Base 8 Darwin 85mm PHC Blank,Base 8.0,PHC,HC,Darwin VV20747
1-0732-0000,WS Rx Lens Int'l Clr ANSI-EN,WS Lens,CLR UV400,AF,Taroko VV21312
1-0732-0001,WS Rx Lens Smk ANSI-EN,WS Lens,Smk,AF,Taroko VV21312
1-0737-0000,TKO 7C 2.45 Clr  AF,7C/2.45,Clr,AF,Taroko VV21312
1-0737-0001,TKO 7C 2.45 Smk  AF,7C/2.45,Smk,AF,Taroko VV21312
1-0737-0100,TKO Sphr 7C/2.45 Blank Slvr Mirror AF,7C/2.45,Slvr Mir,AF,Taroko VV21312
1-0737-0101,TKO Sphr 7C/2.45 Blank Revo Mirror AF,7C/2.45,Revo Mir,AF,Taroko VV21312
1-0769-0103,DL Lens MLL Clr AF ANSI,DL Lens,Clr,AF,Taroko VV21312
1-0769-0103,DL Lens MLL Clr AF ANSI,DL Lens,Clr,AF,Taroko VV21312
1-0769-0203,DL Lens MLL Smk AF ANSI,DL Lens,Smk,AF,Taroko VV21312
1-0769-0403,DL Lens MLL Yel AF ANSI,DL Lens,Yel,AF,Taroko VV21312
1-0790-0001,SF Lens Clr Max Nomk Sm,Saw Fly Max Sm,Clr,HC,Taroko VV21312
1-0790-0041,SF Lens Clr Max AF Sm CH,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-0043,SF Lens Ver Max AF Sm CH,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0790-0100,SF Lens Clr Max EN HC2/NK50 Sm DE,SF Max Sm,Clr,AF,Taroko VV21312
1-0790-0100,SF Lens Clr Max EN HC2/NK50 Sm DE,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-0101,SF Lens Clr Max EN AF Sm,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-0200,SF Lens NG Max EN HC2/NK50 Sm DE,Saw Fly Max Sm,NG,AF,Taroko VV21312
1-0790-0201,SF Lens NG Max EN AF Sm,Saw Fly Max Sm,NG,AF,Taroko VV21312
1-0790-0300,SF Lens Yel Max EN HC2/NK50 Sm DE,Saw Fly Max Sm,Yel,AF,Taroko VV21312
1-0790-0301,SF Lens Yel Max EN AF Sm,Saw Fly Max Sm,Yel,AF,Taroko VV21312
1-0790-0400,SF Lens Ver Max EN HC2/NK50 Sm DE,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0790-0404,SF Lens LT-Ver Max EN AF Sm,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0790-0407,SF Lens Ver Max EN HC2/NK50 Sm,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0790-0500,SF Lens Smk Max EN HC2/NK50 Sm DE,Saw Fly Max Sm,Smk,AF,Taroko VV21312
1-0790-0507,SF Lens Smk Max EN HC2/NK50 Sm,Saw Fly Max Sm,Smk,AF,Taroko VV21312
1-0790-5009,SF Lens Smk Max Nomk AF Sm,Saw Fly Max Sm,Smk,AF,Taroko VV21312
1-0790-5021,SF Lsr Lens E2-5 Max EN Gel AF Sm DE,Saw Fly Max Sm,E2-5,AF,Taroko VV21312
1-0790-5024,SF Lens Ver Max EN Gel AF Sm DE,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0790-5025,SF Lens Clr Max Nomk Gel AF Sm,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-5030,SF Lens Clr Max EN AF Sm DE,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-5032,SF Lens Ver Max EN AF Sm DE,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0790-5033,SF Lsr Lens E2-5 Max EN HC Sm DE,Saw Fly Max Sm,E2-5,HC,Taroko VV21312
1-0790-5034,SF Lens Clr Max EN Sm DE,Saw Fly Max Sm,Clr,HC,Taroko VV21312
1-0790-5035,SF Lens NG Max EN Sm DE,Saw Fly Max Sm,NG,HC,Taroko VV21312
1-0790-5045,SF Lens Clr Max EN HC Sm,Saw Fly Max Sm,Clr,HC,Taroko VV21312
1-0790-5046,SF Lens NG Max EN HC Sm,Saw Fly Max Sm,NG,HC,Taroko VV21312
1-0790-5047,SF Lens Smk Max EN EN HC Sm,Saw Fly Max Sm,Smk,HC,Taroko VV21312
1-0790-5048,SF Lens Ver Max EN HC Sm,Saw Fly Max Sm,Ver,HC,Taroko VV21312
1-0790-5053,SF Lens Smk Max EN Gel AF Sm DE,Saw Fly Max Sm,Smk,AF,Taroko VV21312
1-0790-5055,SF Lsr Lens E2-5 UVS Max EN AF Sm DE,Saw Fly Max Sm,E2-5,AF,Taroko VV21312
1-0790-5059,SF Lens Smk Max EN AF Sm DE,Saw Fly Max Sm,Smk,AF,Taroko VV21312
1-0790-5101,SF Lens Clr Max AF Sm CH,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-5102,SF Lens Clr Max EN AF Sm,Saw Fly Max Sm,Clr,AF,Taroko VV21312
1-0790-5201,SF Lens Smk Max AF Sm CH,Saw Fly Max Sm,Smk,AF,Taroko VV21312
1-0790-5401,SF Lens Ver Max AF Sm CH,Saw Fly Max Sm,Ver,AF,Taroko VV21312
1-0868-0001,Base 6.8 Blank Clr Gel HC,Base 6.8,Clr,HC,Revision VI20197
1-0868-0002,Base 6.8 Blank Smk Gel HC,Base 6.8,Smk,HC,Revision VI20197
1-0868-0003,Base 6.8 Blank Yel Gel HC,Base 6.8,Yel,HC,Revision VI20197
1-0868-0004,Base 6.8 Blank Ver Gel HC,Base 6.8,Ver,HC,Revision VI20197
1-0868-0005,Base 6.8 Blank NG Gel HC,Base 6.8,NG,HC,Revision VI20197
1-0868-0006,Base 6.8 Blank Clr Gel-Vis AF,Base 6.8,Clr,AF,Revision VI20197
1-0868-0007,Base 6.8 Blank Smk Gel-Vis AF,Base 6.8,Smk,AF,Revision VI20197
1-0868-0100,Base 6.8 Blank PHC,Base 6.8,PHC,HC,Darwin VV20747
1-0868-5001,Base 6.8 Sphr Blank Clr HC,Base 6.8,Clr,HC,Revision VI20197
1-0868-5002,Base 6.8 Sphr Blank Smk HC,Base 6.8,Smk,HC,Revision VI20197
1-0868-5003,Base 6.8 Sphr Blank NG HC,Base 6.8,NG,HC,Revision VI20197
1-0868-5004,Base 6.8 Sphr Blank Yel HC,Base 6.8,Yel,HC,Revision VI20197
1-0868-5005,Base 6.8 Sphr Blank Ver HC,Base 6.8,Ver,HC,Revision VI20197
1-0868-5006,Base 6.8 Sphr Blank FT-2 Lsr HC,Base 6.8,FT-2,HC,Revision VI20197
1-0868-5007,Base 6.8 Sphr Blank Clr AF,Base 6.8,Clr,AF,Revision VI20197
1-0868-5008,Base 6.8 Sphr Blank Smk AF,Base 6.8,Smk,AF,Revision VI20197
1-0868-5009,Base 6.8 Sphr Blank NG AF,Base 6.8,NG,AF,Revision VI20197
1-0868-5010,Base 6.8 Sphr Blank Yel AF,Base 6.8,Yel,AF,Revision VI20197
1-0868-5011,Base 6.8 Sphr Blank Ver AF,Base 6.8,Ver,AF,Revision VI20197
1-0868-5016,Base 6.8 Sphr Blank E2-5 Gel Lsr AF,Base 6.8,E2-5,AF,Revision VI20197
1-0868-5018,Base 6.8 Sphr Blank E2-5 Lsr HC,Base 6.8,E2-5,HC,Revision VI20197
1-0868-5019,Base 6.8 Sphr Blank Clr Gel AF,Base 6.8,Clr,AF,Revision VI20197
1-0868-5020,Base 6.8 Sphr Blank NG Gel AF,Base 6.8,NG,AF,Revision VI20197
1-0868-5021,Base 6.8 Sphr Blank Ver Gel AF,Base 6.8,Ver,AF,Revision VI20197
1-0868-5023,Base 6.8 Sphr Blank Smk Gel AF,Base 6.8,Smk,AF,Revision VI20197
1-0868-5024,Base 6.8 Sphr Blank 30-Mocha HC,Base 6.8,Mocha,HC,Revision VI20197
1-0868-5026,Base 6.8 Sphr Blank E2-5 UVS Lsr AF,Base 6.8,E2-5,AF,Revision VI20197
1-0868-5033,Base 6.8 Sphr Blank C5-6-10 Lsr HC,Base 6.8,C5-6-10,HC,Revision VI20197
1-0868-5034,Base 6.8 Sphr Blank C5-6-10 Lsr AF,Base 6.8 ,C5-6-10,AF,Revision VI20198
1-0868-5036,Base 6.8 Sphr Blank NG UV400 HC,Base 6.8,NG,AF ,Revision VI20198
1-0868-5037,Base 6.8 Sphr Blank Clr UV400 HC,Base 6.8,CLR UV400,HC,Revision VI20198
1-0868-5038,Base 6.8 Sphr Blank NG UV400 HC,Base 6.8,NG,HC,Revision VI20197
1-0868-5039,Base 6.8 Sphr Blank Ver UV400 HC,Base 6.8,Ver,HC,Revision VI20197
1-0868-5040,Base 6.8 Sphr Blank Yel HC,Base 6.8,Yel,HC,Revision VI20198
1-0868-5041,Base 6.8 Sphr Blank E2-5 AF,Base 6.8,E2-5,AF,Revision VI20197
1-0868-5042,Base 6.8 Sphr Blank Clr Int'l AF,Base 6.8,CLR UV400,AF,Revision VI20197
1-0868-5043,Base 6.8 Sphr Blank Clr AF US,Base 6.8,CLR UV380,AF,Revision VI20197
1-0868-5044,Base 6.8 Sphr Blank Smk AF,Base 6.8,smk,AF,Revision VI20197
1-0868-5045,Base 6.8 Sphr Blank VER AF,Base 6.8,Ver,AF,Revision VI20197
1-0868-5046,Base 6.8 Sphr Blank YEL AF,Base 6.8,Yel,AF,Revision VI20197
1-0868-5046,Base 6.8 Sphr Blank Yel UV400,Base 6.8,Yel,AF,Revision VI20198
1-0868-5047,Base 6.8 Sphr Blank NG AF,Base 6.8,NG,AF,Revision VI20197
1-0868-5048,Base 6.8 Sphr Blank Yel AF,Base 6.8,Yel,AF,Revision VI20197
1-0868-5049,Base 6.8 Sphr Blank Ver AF,Base 6.8,Ver,AF,Revision VI20197
1-0868-5050,Base 6.8 Sphr Blank Smk AF,Base 6.8,Smk,AF,Revision VI20197
1-0868-5051,Base 6.8 Sphr Blank NG AF,Base 6.8,NG,AF,Revision VI20197
1-0868-5052,Base 6.8 Sphr Blank Clr AF US,Base 6.8,CLR UV380,AF,Revision VI20197
1-0868-5053,Base 6.8 Sphr Blank Clr AF Int'l,Base 6.8,CLR UV400,AF,Revision VI20197
1-0868-5057,Base 6.8 Sphr Blank GF-8 AF,Revision,GF-8,AF,Revision VI20197
1-0915-5000,AB Prime Blank Clr AF S/M,Air Boss Primary S/M,Clr Int'l,AF,Revision VI20197
1-0916-5000,AB Prime Blank Clr AF Lg/XL,Air Boss Primary Lg/XL,Clr Int'l,AF,Revision VI20197
1-1095-5001,RCH Facemask Blank Clr HC/AF,RCH Facemask Blank,Clr,AF,Revision VI20197
1-1170-5000,LION FFT Visor 4in Clr,Lion Visor 4in,Clr,HC,Revision VI20197
2-0043-5003,SF Lens Asm ANSI Lg PHC HC BNP,Saw Fly,PHC,HC,Revision VI20197
2-0043-5010,SF Lens Mold Asm ANSI Lg Clr HC CNP,Saw Fly,Clr,HC,Revision VI20197
2-0043-5011,SF Lens Mold Asm ANSI Lg Smk HC BNP,Saw Fly,Smk,HC,Revision VI20197
2-0044-5003,SF Lens Asm ANSI Rg PHC HC BNP,Saw Fly,PHC,HC,Revision VI20197
2-0044-5010,SF Lens Mold Asm ANSI Rg Clr HC CNP,Saw Fly,Clr,HC,Revision VI20197
2-0044-5011,SF Lens Mold Asm ANSI Rg Smk HC BNP,Saw Fly,Smk,HC,Revision VI20197
2-0044-5014,SF Lens Mold ASM ANSI Rg Ver HC BNP,Saw Fly,Ver,HC,Revision VI20197
2-0044-5015,SF Lens Mold Asm ANSI Rg Yel HC BNP,Saw Fly,Yel,HC,Revision VI20197
2-0044-5017,"SF Lens Asm ANSI Rg Smk HC BNP, PBE",Saw Fly,Smk,HC,Revision VI20197
2-0279-0100,BA Lens Pair Clr AF,BA Pair,Clr,AF,Taroko VV21312
2-0279-0101,BA Lens Pair Clr AF EN,BA Pair,Clr,AF,-
2-0279-0102,BA Lens Pair Clr HC/AF DC Nomk,BA Pair,Clr,AF,Jiann Lih VV21234
2-0279-0103,BA Lens Pair Clr HC/AF Nomk,BA Pair,Clr,AF,Taroko VV21312
2-0279-0107,BA Lens Pair Clr HC2/AFNK50,BA Pair,Clr,AF,Taroko VV21312
2-0279-0200,BA Lens Pair NG AF,BA Pair,NG,AF,-
2-0279-0201,BA Lens Pair NG AF EN,BA Pair,NG,AF,-
2-0279-0202,BA Lens Pair NG HC/AF DC Nomk,BA Pair,NG,AF,Jiann Lih VV21234
2-0279-0203,BA Lens Pair Smk HC/AF Nomk,BA Pair,Smk,AF,Taroko VV21312
2-0279-0207,BA Lens Pair NG HC2/AFNK50,BA Pair,NG,AF,Taroko VV21312
2-0279-0300,BA Lens Pair Yel AF,BA Pair,Yel,AF,Taroko VV21312
2-0279-0301,BA Lens Pair Yel AF EN,BA Pair,Yel,AF,-
2-0279-0307,BA Lens Pair Yel HC2/AFNK50,BA Pair,Yel,AF,Taroko VV21312
2-0279-0400,BA Lens Pair Ver AF,BA Pair,Ver,AF,-
2-0279-0401,BA Lens Pair Ver AF EN,BA Pair,Ver,AF,-
2-0279-0407,BA Lens Pair Ver HC2/AFNK50,BA Pair,Ver,AF,Taroko VV21312
2-0279-0500,BA Lens Pair Smk AF,BA Pair,Smk,AF,-
2-0279-5100,BA Lens Pair Clr AF ANSI-EN,BA Pair,Clr,AF,-
2-0279-5101,BA Lens Pair Clr ANSI,BA Pair,Clr,AF,-
2-0279-5200,BA Lens Pair NG AF ANSI-EN,BA Pair,NG,AF,-
